"","Commune","Code.Insee"
"1","STRASBOURG",67482
"3","BISCHHEIM",67043
"4","SCHILTIGHEIM",67447
"5","HOENHEIM",67204
"6","ILLKIRCH GRAFFENSTADEN",67218
"7","LINGOLSHEIM",67267
"8","OSTWALD",67365
"9","SOUFFELWEYERSHEIM",67471
"10","LA WANTZENAU",67519
"11","REICHSTETT",67389
"12","ACHENHEIM",67001
"13","ADAMSWILLER",67002
"14","ALBE",67003
"15","ALLENWILLER",67004
"16","ALTECKENDORF",67005
"17","ALTENHEIM",67006
"18","ALTENSTADT",67007
"19","ALTORF",67008
"20","ALTWILLER",67009
"21","ANDLAU",67010
"22","ARTOLSHEIM",67011
"23","ASCHBACH",67012
"24","ASSWILLER",67013
"25","AUENHEIM",67014
"26","AVENHEIM",67015
"27","AVOLSHEIM",67016
"28","BAERENDORF",67017
"29","BALBRONN",67018
"30","BALDENHEIM",67019
"31","BAREMBACH",67020
"32","BARR",67021
"33","BASSEMBERG",67022
"34","BATZENDORF",67023
"35","BEHLENHEIM",67024
"36","BEINHEIM",67025
"37","BELLEFOSSE",67026
"38","BELMONT",67027
"39","BENFELD",67028
"40","BERG",67029
"41","BERGBIETEN",67030
"42","BERNARDSWILLER",67031
"43","BERNARDVILLE",67032
"44","BERNOLSHEIM",67033
"45","BERSTETT",67034
"46","BERSTHEIM",67035
"47","BETSCHDORF",67339
"48","BETTWILLER",67036
"49","BIBLISHEIM",67037
"50","BIETLENHEIM",67038
"51","BILWISHEIM",67039
"52","BINDERNHEIM",67040
"53","BIRKENWALD",67041
"54","BIRLENBACH",67042
"55","BISCHHOLTZ",67044
"56","BISCHOFFSHEIM",67045
"57","BISCHTROFF SUR SARRE",67376
"58","BISCHWILLER",67046
"59","BISSERT",67047
"60","BITSCHHOFFEN",67048
"61","BLAESHEIM",67049
"62","BLANCHERUPT",67050
"63","BLIENSCHWILLER",67051
"64","BOERSCH",67052
"65","BOESENBIESEN",67053
"66","BOLSENHEIM",67054
"67","BOOFZHEIM",67055
"68","BOOTZHEIM",67056
"69","BOSSELSHAUSEN",67057
"70","BOSSENDORF",67058
"71","BOURG BRUCHE",67059
"72","BOURGHEIM",67060
"73","BOUXWILLER",67061
"74","BREITENAU",67062
"75","BREITENBACH",67063
"76","BREMMELBACH",67064
"77","BREUSCHWICKERSHEIM",67065
"78","BRUMATH",67067
"79","BUHL",67069
"80","BURBACH",67070
"81","BUST",67071
"82","BUSWILLER",67068
"83","BUTTEN",67072
"84","CHATENOIS",67073
"85","CLEEBOURG",67074
"86","CLIMBACH",67075
"87","COLROY LA ROCHE",67076
"88","COSSWILLER",67077
"89","CRASTATT",67078
"90","CROETTWILLER",67079
"91","DACHSTEIN",67080
"92","DAHLENHEIM",67081
"93","DALHUNDEN",67082
"94","DAMBACH",67083
"95","DAMBACH LA VILLE",67084
"96","DANGOLSHEIM",67085
"97","DAUBENSAND",67086
"98","DAUENDORF",67087
"99","DEHLINGEN",67088
"100","DETTWILLER",67089
"101","DIEBOLSHEIM",67090
"102","DIEDENDORF",67091
"103","DIEFFENBACH AU VAL",67092
"104","DIEFFENBACH LES WOERTH",67093
"105","DIEFFENTHAL",67094
"106","DIEMERINGEN",67095
"107","DIMBSTHAL",67096
"108","DINGSHEIM",67097
"109","DINSHEIM SUR BRUCHE",67098
"110","DOMFESSEL",67099
"111","DONNENHEIM",67100
"112","DORLISHEIM",67101
"113","DOSSENHEIM KOCHERSBERG",67102
"114","DOSSENHEIM SUR ZINSEL",67103
"115","DRACHENBRONN BIRLENBACH",67104
"116","DRULINGEN",67105
"117","DRUSENHEIM",67106
"118","DUNTZENHEIM",67107
"119","DUPPIGHEIM",67108
"120","DURNINGEN",67109
"121","DURRENBACH",67110
"122","DURSTEL",67111
"123","DUTTLENHEIM",67112
"124","EBERBACH WOERTH",67114
"125","EBERBACH SELTZ",67113
"126","EBERSHEIM",67115
"127","EBERSMUNSTER",67116
"128","ECKARTSWILLER",67117
"129","ECKBOLSHEIM",67118
"130","ECKWERSHEIM",67119
"131","EICHHOFFEN",67120
"132","ELSENHEIM",67121
"133","ENGWILLER",67123
"134","ENTZHEIM",67124
"135","EPFIG",67125
"136","ERCKARTSWILLER",67126
"137","ERGERSHEIM",67127
"138","ERNOLSHEIM LES SAVERNE",67129
"139","ERNOLSHEIM SUR BRUCHE",67128
"140","ERSTEIN",67130
"141","ESCHAU",67131
"142","ESCHBACH",67132
"143","ESCHBOURG",67133
"144","ESCHWILLER",67134
"145","ETTENDORF",67135
"146","EYWILLER",67136
"147","FEGERSHEIM",67137
"148","FESSENHEIM LE BAS",67138
"149","FLEXBOURG",67139
"151","FORSTHEIM",67141
"152","FORT LOUIS",67142
"153","FOUCHY",67143
"154","FRIEDOLSHEIM",67145
"155","FRIESENHEIM",67146
"156","FROESCHWILLER",67147
"157","FROHMUHL",67148
"158","FURCHHAUSEN",67149
"159","FURDENHEIM",67150
"160","GAMBSHEIM",67151
"161","GEISPOLSHEIM",67152
"162","GEISWILLER",67153
"163","GERSTHEIM",67154
"164","GERTWILLER",67155
"165","GEUDERTHEIM",67156
"166","GIMBRETT",67157
"167","GINGSHEIM",67158
"168","GOERLINGEN",67159
"169","GOERSDORF",67160
"170","GOTTENHOUSE",67161
"171","GOTTESHEIM",67162
"172","GOUGENHEIM",67163
"173","GOXWILLER",67164
"174","GRANDFONTAINE",67165
"175","GRASSENDORF",67166
"176","GRENDELBRUCH",67167
"177","GRESSWILLER",67168
"178","GRIES",67169
"179","GRIESBACH",67170
"180","GRIESBACH LE BASTBERG",67171
"181","GRIESHEIM PRES MOLSHEIM",67172
"182","GRIESHEIM SUR SOUFFEL",67173
"183","GUMBRECHTSHOFFEN",67174
"184","GUNDERSHOFFEN",67176
"185","GUNGWILLER",67178
"186","GUNSTETT",67177
"187","HAEGEN",67179
"188","HAGUENAU",67180
"189","HANDSCHUHEIM",67181
"190","HANGENBIETEN",67182
